"GEOID","NAME","IncomeE","PopE","AgeE","HouseValueE","HouseholdSizeE","NumHouseE","BirthPlace_Born in state of res","BirthPlace_Born in other state","BirthPlace_Native; born outside","BirthPlace_Foreign born:","Industry_Agric","Industry_Const","Industry_Manuf","Industry_Whole","Industry_Retai","Industry_Trans","Industry_Infor","Industry_Finan","Industry_Profe","Industry_Educa","Industry_Arts,","Industry_Other","Industry_Publi","HouseType_Owner occupied","HouseType_Renter occupied","Race_White alone","Race_Black or African American","Race_American Indian and Alaska","Race_Asian alone","Race_Native Hawaiian and Other","Race_Some other race alone","Race_Two or more races:","geometry","AREA","NumColleges","DistToRiver","MinDistToHwy","NumHwys","AnyHwys","avg_elevation","pctWhite","incomeThousands"
"27123031000","Census Tract 310; Ramsey County; Minnesota",69230,4519,32.5,220500,3.15,1429,0.494357158663421,0.232573578225271,0.023456516928524,0.249612746182784,0,0.0623069001029866,0.300205973223481,0.0247167868177137,0.166323377960865,0.0504634397528321,0,0.00514933058702369,0.0499485066941298,0.201853759011329,0.0453141091658084,0.0669412976313079,0.0267765190525232,0.479356193142057,0.520643806857943,0.285240097366674,0.0967028103562735,0.0287674264217747,0.475768975437044,0,0.0305377295861916,0.0829829608320425,list(list(c(2863724.801355, 2864379.33330858, 2865044.19348952, 2865022.25053168, 2866330.98243406, 2866342.09470541, 2866363.85655237, 2866379.96371889, 2866394.91503253, 2865507.91668494, 2864429.15019533, 2863776.82131964, 2863758.96032622, 2863724.801355, 1051609.98470581, 1051624.6851556, 1051641.34630704, 1052297.03322564, 1052329.08368639, 1051673.63850388, 1050358.00404417, 1049039.02499555, 1047730.60797037, 1047709.18789647, 1047685.99525679, 1047671.68418193, 1049297.64400353, 1051609.98470581
))),11175559.9615493,0,7955.10430339074,0,1,TRUE,271.03125,28.5240097366674,69.23
"27123032500","Census Tract 325; Ramsey County; Minnesota",52218,3885,32.4,228500,2.42,1601,0.536936936936937,0.221364221364221,0.0247104247104247,0.216988416988417,0,0.0663780663780664,0.126022126022126,0.00625300625300625,0.162097162097162,0.0336700336700337,0,0.062049062049062,0.0663780663780664,0.271765271765272,0.0803270803270803,0.0764790764790765,0.0485810485810486,0.586508432229856,0.413491567770144,0.326898326898327,0.267181467181467,0.0226512226512227,0.197683397683398,0,0.0893178893178893,0.0962676962676963,list(list(c(2845566.2481249, 2845562.68553736, 2846871.68732403, 2848181.1990411, 2849490.67963315, 2850800.43024983, 2850804.99577302, 2850824.27022253, 2849513.15422791, 2848202.0413569, 2846889.11572501, 2845576.44818436, 2845566.2481249, 1043508.23087192, 1043849.46429939, 1043856.6082975, 1043864.56788017, 1043875.5250311, 1043885.47229898, 1043555.18777389, 1042236.24907242, 1042223.37005737, 1042210.20771863, 1042197.10759044, 1042184.09163007, 1043508.23087192))),8681247.33010292,0,9159.09232923625,1413.10765266317,0,FALSE,268.746666666667,32.6898326898327,52.218
"27123033400","Census Tract 334; Ramsey County; Minnesota",60000,3338,23.8,261800,2.23,1236,0.544337926902337,0.282804074295986,0.00629119233073697,0.166566806470941,0.00622729631551635,0.0228334198235599,0.126621691748832,0.0124545926310327,0.0710949662688116,0.0690192008303062,0.0119356512714063,0.0819927348209652,0.103269330565646,0.27244421380384,0.146860404774261,0.0529320186818889,0.0223144784639336,0.248381877022654,0.751618122977346,0.63151587777112,0.214799281006591,0,0.0811863391252247,0,0.024565608148592,0.0479328939484721,list(list(c(2837810.76957077, 2838668.1942408, 2838653.84530069, 2839635.38081704, 2840315.88683719, 2841165.42610262, 2842936.97901285, 2845576.44818436, 2845588.16300771, 2845590.02411971, 2845597.08403005, 2845600.16685352, 2844284.53748682, 2842969.16942212, 2842972.36406018, 2842974.97141066, 2840336.81218551, 2838999.89283282, 2838700.3514606, 2838676.52160442, 2837910.25457829, 2837810.76957077, 1040739.73175371, 1040898.60204743, 1042087.06426058, 1042102.11769697, 1042111.95896422, 1042123.55093643, 
1042147.94930523, 1042184.09163007, 1040888.4088643, 1040685.34361283, 1039885.11088394, 1039565.0206486, 1039547.31576017, 1039529.3307685, 1039144.34238513, 1038841.38382914, 1038788.44733808, 1038771.94834697, 1038768.55219541, 1040151.97896924, 1040681.66834438, 1040739.73175371))),21425990.5289317,1,6255.74555083009,0,3,TRUE,281,63.151587777112,60
"27123032700","Census Tract 327; Ramsey County; Minnesota",52120,3197,22.8,231200,3.96,799,0.43728495464498,0.260869565217391,0.00375351892399124,0.298091961213638,0,0.0055045871559633,0.179816513761468,0.0247706422018349,0.167889908256881,0.0715596330275229,0.00275229357798165,0.0844036697247706,0.0321100917431193,0.238532110091743,0.063302752293578,0.104587155963303,0.0247706422018349,0.366708385481852,0.633291614518148,0.209884266499844,0.100719424460432,0.0387863622145762,0.411635908664373,0,0.0613074757585236,0.177666562402252,list(list(c(2853434.85800576, 2853432.73183447, 2855737.03915252, 2856000.45973444, 2856078.41610998, 2856079.59073087, 2856101.48544461, 2855228.9380315, 2854903.83624108, 2853469.6077681, 2853455.42010029, 2853448.01026865, 2853434.85800576, 1045493.63540891, 1045714.19989066, 1045043.20624119, 1045027.85452823, 1044290.37672131, 1043472.93993272, 1042323.20886013, 1042308.94336014, 1042303.58038837, 1042280.00178636, 1043592.06734379, 1044253.38406479, 1045493.63540891))),7947524.02945209,0,5632.85181320591,1585.91326604226,0,FALSE,261.927536231884,20.9884266499844,52.12
"27123041400","Census Tract 414; Ramsey County; Minnesota",95408,5479,38.5,326600,2.19,2443,0.658149297317029,0.197298777149115,0.0184340208067166,0.12611790472714,0.00237610319076714,0.0298710115410726,0.104548540393754,0.0349626612355737,0.0787508486082824,0.114052953156823,0.0176510522742702,0.0529531568228106,0.173116089613035,0.226069246435845,0.0801086218601494,0.021724372029871,0.0638153428377461,0.662709783053623,0.337290216946377,0.697025004562876,0.101295856908195,0.0208067165541157,0.0560321226501186,0,0.0545720021901807,0.0702682971345136,list(list(c(2839989.31471063, 2840014.69995853, 2840202.77057588, 2840363.96847045, 2841027.64718658, 2842244.87847696, 2844884.27421173, 2845154.22357968, 2844872.25008575, 2844658.90417303, 2845247.28176808, 2845312.23504143, 2845397.32655604, 2842777.47171632, 2840264.00040419, 2840197.54050665, 2840066.09676406, 2840048.01187669, 2840044.7879531, 2839989.31471063, 1068447.19715149, 1069482.95585512, 1070131.69669635, 1070473.89021014, 1071305.79550505, 1071322.66949397, 1071363.86724884, 1071359.39004708, 
1070731.50083748, 1069321.13992291, 1067744.1215683, 1065732.86581403, 1062140.50361875, 1062099.09084597, 1062049.24304541, 1062048.20073744, 1063195.74891279, 1065808.00384722, 1065921.3652183, 1068447.19715149))),46531570.9423852,1,23036.3475458683,5168.56735090102,0,FALSE,279.028947368421,69.7025004562876,95.408
"27123034500","Census Tract 345; Ramsey County; Minnesota",73235,3631,30.7,225900,2.87,1250,0.648306251721289,0.224731478931424,0.000826218672541999,0.126136050674745,0,0.0309810671256454,0.104417670682731,0.02122776821572,0.114744693057946,0.0866322432587493,0.00688468158347676,0.0401606425702811,0.130235226620769,0.304073436603557,0.10556511761331,0.0189328743545611,0.036144578313253,0.7048,0.2952,0.406774993114844,0.151198017075186,0,0.245111539520793,0,0.077664555218948,0.119250895070229,list(list(c(2866171.23559794, 2867748.36351288, 2867735.56824722, 2869051.28216971, 2869085.97078682, 2869122.26640424, 2869132.77808829, 2868129.4980926, 2867139.33133276, 2867518.05865067, 2866710.05996622, 2867106.00561105, 2866195.20022497, 2865628.78776614, 2866171.23559794, 1043835.47846225, 1043782.44028143, 1044445.51817296, 1044453.01801123, 1042817.05026796, 1041042.18740739, 1039370.21356732, 1039500.48017274, 1041063.4904991, 1041045.22784135, 1042082.76159102, 1042458.10172686, 1042733.90345568, 
1043459.2155333, 1043835.47846225))),10188820.8069652,0,952.963641752391,0,4,TRUE,269.423076923077,40.6774993114844,73.235
